Map Settings	CTOR:0xA5E50E,ASSIGN:0xD29219
Configure Maps	CTOR:0xA5E50E,ASSIGN:0xD29219
Curve Editor	CTOR:0xA5E50E,ASSIGN:0xD29219
Presets	ASSIGN:0xCC3BEF
Save...	ASSIGN:0xCF67E3
Load...	ASSIGN:0xCF67E3
Export Settings	CTOR:0xA5E50E,ASSIGN:0xD29219
Default	ASSIGN:0x3F76E6
Surface Previewer	ASSIGN:0x3F76E6
Effect Editor Scroll Area	ASSIGN:0x725C0A
Effect Properties AW	ASSIGN:0x725C66
Sync Point Settings	CTOR:0xA5E50E,ASSIGN:0xD29219
Client Rect	CTOR:0xA5E50E,ASSIGN:0xD29219
Brush Editor	CTOR:0xA5E50E,ASSIGN:0xD29219
brusheditor	ASSIGN:0x277B69
Modify Brush	ASSIGN:0x277BB1
Standard	ASSIGN:0x277FBC
BrushEditor ScrollBox	ASSIGN:0x27A272
Brush Editor Scroll Area	ASSIGN:0x27A2E1
Brush Tip	ASSIGN:0xC9BC09
Brush Texture	ASSIGN:0xC04379
Pressure	ASSIGN:0xCF67E3
Tilt	ASSIGN:0xCF67E3
Modify Symmetry Settings	ASSIGN:0x4B8071
brush	ASSIGN:0x4B810B
Attach to:	ASSIGN:0xCC3BEF
Project Mesh Bounds	ASSIGN:0xCF67E3
Object...	ASSIGN:0xCF67E3
Done	ASSIGN:0xA605E9
Stencil	ASSIGN:0xC9BC09
Modify Stencil Settings	ASSIGN:0x4AECC5
Stencil Texture	ASSIGN:0xC04379
Projection	ASSIGN:0xC9BC09
Clone Stamp Editor	CTOR:0xA5E50E,ASSIGN:0xD29219
clonestampeditor	ASSIGN:0xC8270
Clone Stamp Settings	ASSIGN:0xC9BC09
Smudge Editor	CTOR:0xA5E50E,ASSIGN:0xD29219
smudgeeditor	ASSIGN:0x18A316
Smudge Settings	ASSIGN:0xC9BC09
Fill Editor	CTOR:0xA5E50E,ASSIGN:0xD29219
Gradient Editor	CTOR:0xA5E50E,ASSIGN:0xD29219
Save Preset	CTOR:0xA5E50E,ASSIGN:0xD29219
Resource Locator	CTOR:0xA5E50E,ASSIGN:0xD29219
Filename	ASSIGN:0x660B15
Path	ASSIGN:0x660C0C
Status	ASSIGN:0x660CFB
Profile Editor	CTOR:0xA5E50E,ASSIGN:0xD29219
Match Viewport	ASSIGN:0xCF67E3
Ray Traced Distance	CTOR:0xA37D29,ASSIGN:0xC9513E
Ray Distance	CTOR:0xA37D8F,ASSIGN:0xD1579A
Ray Offset	CTOR:0xA38937,ASSIGN:0xD1579A
Occlusion Color	ASSIGN:0xA38AAB
SceneHasSphereLights	ASSIGN:0x1083C5
Initial State	ASSIGN:0xB1C942
s3.amazonaws.com	ASSIGN:0x10A41D8
viewport0	ASSIGN:0xD642D2
Split Vertical	ASSIGN:0xCF67E3
Split Horizontal	ASSIGN:0xCF67E3
Remove Viewport	ASSIGN:0xCF67E3
toneHejl	ASSIGN:0x125C45
ditherLdsBlueNoise	ASSIGN:0x125C45
MiniProjectSelector	CTOR:0xA5E50E,ASSIGN:0xD29219
toneAgX	ASSIGN:0x125C45
Open User Directory	ASSIGN:0xCF67E3
Refresh User Data	ASSIGN:0xCF67E3
Marmoset Hard Reset...	ASSIGN:0xCF67E3
User Hard Reset...	ASSIGN:0xCF67E3
Add Camera	ASSIGN:0xCF67E3
Add Turntable	ASSIGN:0xCF67E3
Add Light	ASSIGN:0xCF67E3
Add Sky	ASSIGN:0xCF67E3
Add Fog	ASSIGN:0xCF67E3
Add Backdrop	ASSIGN:0xCF67E3
Add Shadow Catcher	ASSIGN:0xCF67E3
Add Bake Project	ASSIGN:0xCF67E3
Untitled Layer	ASSIGN:0x71924C
Root	ASSIGN:0x75290C
output	ASSIGN:0x752BB0
Untitled	ASSIGN:0x752BF5
tga	ASSIGN:0x752C62
Linked Meshes LUT hash changed	ASSIGN:0x763ACD
Channel buffers rebuilt	ASSIGN:0x764908
AO	ASSIGN:0xC9BC09
Quality	ASSIGN:0xCC3BEF
Reset Defaults	ASSIGN:0xA605E9
Project Settings	ASSIGN:0xC9BC09
Modify Project Settings	ASSIGN:0x7EB678
Viewport Quality:	ASSIGN:0xCC3BEF
Fast	ASSIGN:0xCF67E3
Full	ASSIGN:0xCF67E3
Tile Mode:	ASSIGN:0xCC3BEF
Single Texture Set	ASSIGN:0xCF67E3
Multiple Texture Sets	ASSIGN:0xCF67E3
UDIM	ASSIGN:0xCF67E3
Viewport Resolution:	ASSIGN:0xCC3BEF
1:1 (Full)	ASSIGN:0xCF67E3
Preview Resolution:	ASSIGN:0xCC3BEF
UV Padding	CTOR:0x7EBC17,ASSIGN:0xD1579A
Tangent Orientation	ASSIGN:0xCC3BEF
Resize...	ASSIGN:0xA605E9
Linked Materials	ASSIGN:0xC9BC09
(Drag and Drop Materials Here)	ASSIGN:0x7ED2C4
Input Maps	ASSIGN:0xC9BC09
Normal	ASSIGN:0xC04379
Normal:	CTOR:0xC0B3F6
Normal Object	ASSIGN:0xC04379
Normal Object:	CTOR:0xC0B3F6
AO:	CTOR:0xC0B3F6
Group ID	ASSIGN:0xCF67E3
Anisotropic Dir.	ASSIGN:0xCF67E3
Cavity	ASSIGN:0xCF67E3
Fuzz	ASSIGN:0xCF67E3
Glint	ASSIGN:0xCF67E3
Glint Roughness	ASSIGN:0xCF67E3
Refraction Depth	ASSIGN:0xCF67E3
Sheen	ASSIGN:0xCF67E3
Sheen Roughness	ASSIGN:0xCF67E3
Transmission Mask	ASSIGN:0xCF67E3
Bump	ASSIGN:0xCF67E3,CTOR:0x598E30
Project Maps	ASSIGN:0xC9BC09
Reflection Workflow:	ASSIGN:0xCC3BEF
Append Tile:	ASSIGN:0xCC3BEF
Before Map	ASSIGN:0xCF67E3
After Map	ASSIGN:0xCF67E3
Separator:	ASSIGN:0xCC3BEF
Export Size:	ASSIGN:0xCC3BEF
Export All	ASSIGN:0xA605E9
Output Maps	ASSIGN:0xC9BC09
Suffix:	ASSIGN:0x7F570E
Type:	ASSIGN:0xCC3BEF
RGB+A	ASSIGN:0xCF67E3
RGBA	ASSIGN:0xCF67E3
R+G+B	ASSIGN:0xCF67E3
R+G+B+A	ASSIGN:0xCF67E3
Grayscale	ASSIGN:0xCF67E3
8-Bit	ASSIGN:0xCF67E3
Selected Project Automatic Recomposite Check	ASSIGN:0xD23F8C
Active Maps	ASSIGN:0xC9BC09
Channel Selector	ASSIGN:0x5A8D4C
Projection Method	ASSIGN:0xCC3BEF
Tri-Planar	ASSIGN:0xCF67E3
Planar	ASSIGN:0xCF67E3
Edge Fade	CTOR:0x8A516F,ASSIGN:0xD1579A
Normal Map Influence	CTOR:0x8A52C7,ASSIGN:0xD1579A
Material Properties	ASSIGN:0xC9BC09
Material Reference	ASSIGN:0xC9BC09
Modify Material Reference	ASSIGN:0x58D0F8
Material:	CTOR:0x58D3DC,ASSIGN:0xC9513E
Remove Reference Material	ASSIGN:0x58DA6A
Import Reference Material	ASSIGN:0x58DD16
Bump Map:	CTOR:0xC0B3F6
Add	ASSIGN:0xCF67E3
Multiply	ASSIGN:0xCF67E3
Overlay	ASSIGN:0xCF67E3
Lighten	ASSIGN:0xCF67E3
Darken	ASSIGN:0xCF67E3
Color Dodge	ASSIGN:0xCF67E3
Color Burn	ASSIGN:0xCF67E3
Linear Burn	ASSIGN:0xCF67E3
Cavity Map	ASSIGN:0x4E98F9
Dither	ASSIGN:0x4E9914
Alpha Map	ASSIGN:0x4E9924
Displacement Map	ASSIGN:0x4E8C60
Emissive Map	ASSIGN:0x4E9606
Subsurface Scattering	ASSIGN:0x4E8FD0
Scatter Map	ASSIGN:0x4E8FE0
Mask Map	ASSIGN:0x4E90E0
Anisotropic	ASSIGN:0x4E91AA
Direction Map	ASSIGN:0x4E91BA
Fuzz Map	ASSIGN:0x4E9127
Microfiber	ASSIGN:0x4E8E98
Sheen Map	ASSIGN:0x4E8EA8
Refraction	ASSIGN:0x4E90A5
Depth Map	ASSIGN:0x4E90B5
Glint Map	ASSIGN:0x4E8F44
Occlusion Map	ASSIGN:0x4E9752
SRDisplacementHeight	ASSIGN:0xCEE79D
Displacement Map:	CTOR:0xC0B3F6
Scale Center	ASSIGN:0x40A33C,CTOR:0x40A3EC
Contrast Center	ASSIGN:0x40A33C,CTOR:0x40A3EC
Offset	ASSIGN:0x40A33C,CTOR:0x40A3EC
Generate Normals	ASSIGN:0x4C9346,CTOR:0x4C93DE
SROcclusionMap	ASSIGN:0xCEFDBD
Occlusion Map:	CTOR:0xC0B3F6
Vertex Channel	ASSIGN:0x126DC9
Cavity Map:	CTOR:0xC0B3F6
Diffuse Cavity	ASSIGN:0x40A33C,CTOR:0x40A3EC
Specular Cavity	ASSIGN:0x40A33C,CTOR:0x40A3EC
SRReflectivitySpecularMap	ASSIGN:0xCEF83D
Specular Map	ASSIGN:0x12613B
Specular Map:	CTOR:0xC0B3F6
Fresnel	ASSIGN:0x40A33C,CTOR:0x40A3EC
Conserve Energy	ASSIGN:0x4C9346,CTOR:0x4C93DE
load input maps	ASSIGN:0x75DBBE
