ASSIGN	0x75777	Strength
ASSIGN	0x75777	Coating Color
ASSIGN	0x759F6	Mode
ASSIGN	0x75777	Intensity
ASSIGN	0x75777	Dirt Intensity
ASSIGN	0x75777	Dirt Density
ASSIGN	0x75777	Dirt Size
ASSIGN	0x75777	Field Of View
ASSIGN	0x75777	Sharpen Limit
ASSIGN	0x75777	Bloom Size
ASSIGN	0x75777	Vignette Curve
ASSIGN	0x75777	Barrel
ASSIGN	0xBD8E32	Light Brightness
ASSIGN	0xBD8FA0	Background Brightness
ASSIGN	0x75777	Sun Brightness
ASSIGN	0x75777	Sun Scale
ASSIGN	0x75777	Saturation
ASSIGN	0x75777	Blur Size
ASSIGN	0xCEE9AD	SRSurfaceNormalMap
ASSIGN	0x12613B	Normal Map
ASSIGN	0x12615B	material_surfNormal_normalMap
ASSIGN	0xCB07C4	textureboxempty.tga
ASSIGN	0xCB07C4	textureboxudimoverlay.tga
ASSIGN	0xCB07C4	textureboxmixed.tga
ASSIGN	0xCB07C4	imageboxframe.tga
ASSIGN	0xCB07C4	textureboxoptions.tga
ASSIGN	0xCB07C4	textureboxpreview.tga
ASSIGN	0xCB07C4	bakerpreviewoutput.tga
ASSIGN	0xCB07C4	textureboxedit.tga
ASSIGN	0xCB07C4	textureboxreload.tga
ASSIGN	0xCB07C4	textureboxclear.tga
ASSIGN	0xC0CBCC	none
ASSIGN	0x4C9346	Scale & Bias
ASSIGN	0x4C9368	material_surfNormal_scaleBias
CTOR	0x4C93DE	Scale & Bias
ASSIGN	0x4C9346	Flip X
ASSIGN	0x4C9368	material_surfNormal_flipX
CTOR	0x4C93DE	Flip X
ASSIGN	0x4C9368	material_surfNormal_flipY
CTOR	0x4C93DE	detail
ASSIGN	0x4C9368	material_surfNormal_flipZ
ASSIGN	0x4C9368	material_surfNormal_genZ
ASSIGN	0x4C9346	Object Space
ASSIGN	0x4C9368	material_surfNormal_objectSpace
CTOR	0x4C93DE	Object Space
ASSIGN	0xCEF6DD	SRMicrosurfaceRoughnessMap
ASSIGN	0x12613B	Roughness Map
ASSIGN	0x12615B	material_microsurface_roughnessMap
ASSIGN	0x126E55	material_microsurface_roughnessMapChannel
ASSIGN	0x40A589	material_microsurface_roughness
ASSIGN	0x4C9346	Invert;roughness
ASSIGN	0x4C9368	material_microsurface_roughnessInvert
ASSIGN	0xCEEBDD	SRAlbedoMap
ASSIGN	0x12613B	Albedo Map
ASSIGN	0x12615B	material_albedo_albedo
ASSIGN	0xCD2BA0	Color
ASSIGN	0xCD2BBD	material_albedo_color
ASSIGN	0xCB07C4	colorpickerwell.tga
ASSIGN	0xCB07C4	colorpickermixed.tga
ASSIGN	0xCB07C4	colorpickermixedgray.tga
ASSIGN	0xCEEE9D	SRDiffusionLambertian
ASSIGN	0xCEF8ED	SRReflectivityMetalnessMap
ASSIGN	0x12613B	Metalness Map
ASSIGN	0x12615B	material_reflMetalness_metalnessMap
ASSIGN	0x126E55	material_reflMetalness_channel
ASSIGN	0x40A589	material_reflMetalness_metalness
ASSIGN	0x4C9368	material_reflMetalness_invert
ASSIGN	0xCEF36D	SRReflectionGGX
ASSIGN	0xCF007D	SRTextureUv
ASSIGN	0x126E55	material_texture_uv_channel
ASSIGN	0x40A33C	Texture Tiling
CTOR	0x40A3EC	Texture Tiling
ASSIGN	0x40A589	material_texture_tile
ASSIGN	0x40A33C	Tile U
CTOR	0x40A3EC	Tile U
ASSIGN	0x40A589	material_texture_tileU
ASSIGN	0x40A589	material_texture_offsetU
ASSIGN	0x40A33C	Tile V
CTOR	0x40A3EC	Tile V
ASSIGN	0x40A589	material_texture_tileV
ASSIGN	0x40A589	material_texture_offsetV
ASSIGN	0x40A589	material_texture_rotation
ASSIGN	0x126E55	material_texture_wrap
ASSIGN	0x126DC9	Aniso
ASSIGN	0x126E55	material_texture_aniso
ASSIGN	0x4C9346	Filter
ASSIGN	0x4C9368	material_texture_filter
CTOR	0x4C93DE	Filter
ASSIGN	0xCF028D	SRMerge
ASSIGN	0x3EB0CB	MATERIAL_LAYER_COUNT
ASSIGN	0xCE6E54	MATERIAL_PASS_PREPASS
ASSIGN	0xCDE033	MATERIAL_TEXTURE_MODE_UV
ASSIGN	0xCED5A3	name
ASSIGN	0x4CA6F4	REFLECTION
ASSIGN	0xCD433F	DIFFUSION
ASSIGN	0xCD4BAA	DiffusionWantsPrepassAlbedoOutput
ASSIGN	0xCCD8DF	SurfaceShadingSpaceNonWorld
ASSIGN	0x158305	MATERIAL_LAYERING_MODE_NONE
ASSIGN	0xCE6E54	MATERIAL_PASS_PREPASS_RT
ASSIGN	0xCE6E54	MATERIAL_PASS_PREPASS_RTAO
ASSIGN	0xCE6E54	MATERIAL_PASS_PREPASS_HYBRID
ASSIGN	0xCE6E54	MATERIAL_PASS_PREPASS_COMPONENTVIEW
ASSIGN	0xCE6E54	MATERIAL_PASS_LIGHT
ASSIGN	0xCE6E54	MATERIAL_PASS_SHADOWMAP
ASSIGN	0xCE6E54	MATERIAL_PASS_SHADOWMAP_COMPONENTVIEW
ASSIGN	0xCE6E54	MATERIAL_PASS_SCATTER
ASSIGN	0x6AD7F	GGX_IMPORTANCE_SAMPLES
ASSIGN	0xCE6E54	MATERIAL_PASS_COMPONENTVIEW
ASSIGN	0xCE6E54	MATERIAL_PASS_VELOCITY
ASSIGN	0xCE6E54	MATERIAL_PASS_RT_PRIMARYHIT
ASSIGN	0xCCD871	SurfaceFlipBackfacingNormals
ASSIGN	0xCE6E54	MATERIAL_PASS_RT_PRIMARYHIT_RASTER
ASSIGN	0xCE6E54	MATERIAL_PASS_RT_SECONDARYHIT
ASSIGN	0xCE6E54	MATERIAL_PASS_HYBRID_LIGHT_SAMPLE
ASSIGN	0xCE6E54	MATERIAL_PASS_HYBRID_PRIMARYHIT
ASSIGN	0xCE6E54	MATERIAL_PASS_HYBRID_SPATIALHASHDEBUG
ASSIGN	0xCE6E54	MATERIAL_PASS_HYBRID_INDIRECT
ASSIGN	0xCE6E54	MATERIAL_PASS_DEFORM
ASSIGN	0xCE6E54	MATERIAL_PASS_PAINT
ASSIGN	0xCCB186	TRANSFORMUV_ORDER_PAINT
ASSIGN	0xCE6E54	MATERIAL_PASS_EXPORT
ASSIGN	0x6AD7F	MATERIAL_TEXTURE_NOMIPS
ASSIGN	0xCE6E54	MATERIAL_PASS_BAKE
ASSIGN	0xCE6E54	MATERIAL_PASS_RENDERTOTEXTURE
ASSIGN	0xCE6E54	MATERIAL_PASS_COLOR_SAMPLE
ASSIGN	0xC57013	PREPASS_MINIMAL
ASSIGN	0xD5F5C3	OUTPUT_SECONDARY
ASSIGN	0x10A367E	GET
ASSIGN	0x7AEC10	HEAD
ASSIGN	0x7AEC29	index.json
ASSIGN	0xB2190B	v5.02 (5022)
ASSIGN	0xCB07C4	iconlistbox.tga
ASSIGN	0xCB07C4	iconlistboxhover.tga
CTOR	0xA5E50E	Layers Window Main UI
ASSIGN	0xD29219	Layers Window Main UI
ASSIGN	0xCC3BEF	Blending
ASSIGN	0x15D58C	Set Blend Mode
ASSIGN	0x15D5F4	Adjust Layer Opacity
